id,chart,claude_nd_score,claude_smog_index,claude_gunning_fog_index,claude_flesch_kincaid_grade,claude_coleman_liau_index,claude_dictionary_confidence,claude_verification_supported_rate,claude_verification_supported_claims,claude_verification_contradicted_claims,claude_verification_insufficient_claims,claude_verification_total_claims,claude_word_count,claude_sentence_count,claude_words_per_number,claude_total_number_mentions,claude_numeric_token_count,claude_number_word_count,claude_polysyllabic_word_count,claude_total_syllables,claude_total_characters,claude_overview_and_main_message,claude_chart_structure,claude_relevant_patterns_trends_and_comparisons,claude_essential_key_details,gemini_nd_score,gemini_smog_index,gemini_gunning_fog_index,gemini_flesch_kincaid_grade,gemini_coleman_liau_index,gemini_dictionary_confidence,gemini_verification_supported_rate,gemini_verification_supported_claims,gemini_verification_contradicted_claims,gemini_verification_insufficient_claims,gemini_verification_total_claims,gemini_word_count,gemini_sentence_count,gemini_words_per_number,gemini_total_number_mentions,gemini_numeric_token_count,gemini_number_word_count,gemini_polysyllabic_word_count,gemini_total_syllables,gemini_total_characters,gemini_overview_and_main_message,gemini_chart_structure,gemini_relevant_patterns_trends_and_comparisons,gemini_essential_key_details,chatgpt_nd_score,chatgpt_smog_index,chatgpt_gunning_fog_index,chatgpt_flesch_kincaid_grade,chatgpt_coleman_liau_index,chatgpt_dictionary_confidence,chatgpt_verification_supported_rate,chatgpt_verification_supported_claims,chatgpt_verification_contradicted_claims,chatgpt_verification_insufficient_claims,chatgpt_verification_total_claims,chatgpt_word_count,chatgpt_sentence_count,chatgpt_words_per_number,chatgpt_total_number_mentions,chatgpt_numeric_token_count,chatgpt_number_word_count,chatgpt_polysyllabic_word_count,chatgpt_total_syllables,chatgpt_total_characters,chatgpt_overview_and_main_message,chatgpt_chart_structure,chatgpt_relevant_patterns_trends_and_comparisons,chatgpt_essential_key_details
00022,Indicadors de salut per categoria,10.900474,9.631027,15.184992,13.133851,19.94237,72.511848,54.545455,6,3,2,11,211,12,9.173913,23,22,1,43,391,1343,"This chart compares health indicators across 12 healthcare categories, broken down by three status groups: Resolts, Amb seguiment, Derivats. The category with the highest average is Atenció primària (205.3 milers de pacients), while Cardiologia has the lowest (68.8 milers de pacients).","This is a Clustered Column chart. The X-axis represents 12 healthcare categories: Atenció primària, Urgències, Hospitalització, Diagnòstic, Rehabilitació, Salut mental, Farmàcia, Oncologia, Pediatria, Geriatria, Cirurgia, Cardiologia. The Y-axis represents values in milers de pacients, ranging from 54.9 to 230.8. Each category is subdivided into 3 data series (Resolts, Amb seguiment, Derivats), represented as grouped columns.","Across all categories, the Derivats series consistently records the highest values (average: 158.4 milers de pacients), followed by Amb seguiment (134.3 milers de pacients) and Resolts (113.4 milers de pacients). There is a substantial spread of 136.5 milers de pacients between the highest-scoring category (Atenció primària) and the lowest (Cardiologia), indicating meaningful differences across healthcare areas. Overall variability is moderate with a coefficient of variation of 0.35 across all 36 data points.","The overall minimum value is 54.9 milers de pacients and the maximum is 230.8 milers de pacients. The global average across all 36 data points is 135.4 milers de pacients, with a median of 133.8 and a standard deviation of 47.8. By series, averages are: Derivats at 158.4, Amb seguiment at 134.3, and Resolts at 113.4 milers de pacients.",6.081081,8.564023,14.122523,12.022703,18.708919,91.891892,36.363636,4,0,7,11,148,12,16.444444,9,5,4,34,286,929,"This chart presents health indicators across various medical specialties. The main takeaway is that general and primary care categories handle the highest volume of patients, whereas highly specialized areas manage significantly lower volumes.","This is a Clustered Column chart. The X-axis represents medical categories, ranging from ""Atenció primària"" to ""Cardiologia"". The Y-axis represents the number of patients in thousands, scaled from a minimum of 54.9 to a maximum of 230.8. The data is divided into three series: ""Resolts"", ""Amb seguiment"", and ""Derivats"".","""Atenció primària"" consistently shows the highest patient volume across the measured series. ""Cardiologia"" records the lowest patient volume among all listed categories. Overall, the ""Derivats"" series presents higher values than ""Resolts"", indicating more patients are referred than resolved immediately.",The absolute maximum value shown is 230.8 thousand patients. The absolute minimum value is 54.9 thousand patients. The global average across all categories and series is approximately 135.36 thousand patients.,13.471503,10.281025,16.588774,13.793381,19.193368,97.927461,41.666667,5,2,5,12,193,12,7.423077,26,19,7,49,378,1209,"This chart compares three health-status series across 12 service categories: Resolved, Follow-up, and Referred. The main takeaway is that Primary care has the highest category average at 205.3 thousand patients and Cardiology has the lowest at 68.8, while the overall average across all 36 plotted values is 135.4.","This is a clustered column chart designed to compare categories and the three series within each category. The x-axis lists 12 service categories: Primary care, Emergency care, Hospitalization, Diagnostics, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology. The y-axis shows the indicator in thousand patients, with values from 54.9 to 230.8. For each category, the data are split into the series Resolved, Follow-up, and Referred.","Category averages decline across the category sequence, falling by 136.5 thousand patients from Primary care to Cardiology. Across the full chart, the series separate clearly: Referred has the highest average at 158.4, followed by Follow-up at 134.3, and Resolved at 113.4. Within-category spread is widest in Hospitalization, where the three values span 57.5, and tightest in Geriatrics, where they span 33.3.","The minimum value anywhere on the chart is 54.9 thousand patients and the maximum is 230.8. The overall average is 135.4. Among category averages, Primary care is highest at 205.3 and Cardiology is lowest at 68.8."
00047,Indicadors de salut per categoria,12.0,8.490367,13.733333,11.578667,17.428267,82.666667,88.888889,8,1,0,9,150,10,8.333333,18,18,0,29,271,898,This chart displays a health indicator measured in milers de pacients across 3 healthcare categories. The highest value is found in Hospitalització (350.5 milers de pacients) and the lowest in Atenció primària (97.5 milers de pacients).,"This is a Clustered Column chart. The X-axis represents 3 healthcare categories: Atenció primària, Urgències, Hospitalització. The Y-axis represents values in milers de pacients, ranging from 97.5 to 350.5.","Values range from 97.5 to 350.5 milers de pacients, a spread of 253, with Hospitalització at the top and Atenció primària at the bottom. The mean (227.7) and median (235) are close, suggesting a roughly symmetric distribution of values across categories. There is high variability across categories (coefficient of variation: 0.56), indicating substantial disparity in the health indicator.","The overall minimum value is 97.5 milers de pacients and the maximum is 350.5 milers de pacients. The global average across all 3 data points is 227.7 milers de pacients, with a median of 235 and a standard deviation of 126.7.",8.730159,7.34359,12.136508,10.138333,17.080952,92.857143,44.444444,4,0,5,9,126,12,11.454545,11,5,6,25,231,765,"This chart displays health indicator values for three core medical categories. The primary message is the stark contrast in patient volume, with hospitalizations accounting for the largest share.","This is a Clustered Column chart. The X-axis represents medical categories, specifically ""Atenció primària"", ""Urgències"", and ""Hospitalització"". The Y-axis shows the number of patients in thousands, ranging from 97.5 to 350.5. A single series named ""Valor"" is plotted.","""Hospitalització"" shows the highest patient volume by a significant margin. ""Atenció primària"" has the lowest volume among the three measured areas. There is a sequential increase in volume from primary care, through urgencies, up to hospitalization.",The minimum value recorded is 97.5 thousand patients. The maximum value is 350.5 thousand patients. The average value across these three categories is 227.67 thousand patients.,11.464968,8.933862,14.660085,11.834793,16.505987,98.089172,63.636364,7,1,3,11,157,12,8.722222,18,13,5,37,297,923,"This chart compares a single health indicator across 3 service categories. The main message is a continuous rise from Primary care at 97.5 to Hospitalization at 350.5 thousand patients, with an overall average of 227.7.","This is a clustered column chart used to compare service categories. The x-axis lists 3 categories: Primary care, Emergency care, and Hospitalization. The y-axis shows the indicator in thousand patients, with values from 97.5 to 350.5. There is one series, labeled Value.","The values increase across the listed categories without reversal, so the ordering of categories also becomes an ordering of magnitude. The largest increase is between Primary care and Emergency care, where the value rises by 137.5. Values move above the overall average from Emergency care onward, so the higher end of the category list contributes most of the above-average values.","The minimum value is 97.5 thousand patients and the maximum is 350.5. The average across all categories is 227.7. The first category, Primary care, records 97.5, and the last category, Hospitalization, records 350.5."
00053,Indicadors de salut per categoria,11.842105,8.778257,14.237895,11.764316,17.687368,78.289474,88.888889,8,1,0,9,152,10,8.444444,18,18,0,31,276,916,This chart displays a health indicator measured in milers de pacients across 10 healthcare categories. The highest value is found in Geriatria (155.1 milers de pacients) and the lowest in Atenció primària (44.2 milers de pacients).,"This is a Clustered Column chart. The X-axis represents 10 healthcare categories: Atenció primària, Urgències, Hospitalització, Diagnòstic, Rehabilitació, Salut mental, Farmàcia, Oncologia, Pediatria, Geriatria. The Y-axis represents values in milers de pacients, ranging from 44.2 to 155.1.","Values range from 44.2 to 155.1 milers de pacients, a spread of 110.9, with Geriatria at the top and Atenció primària at the bottom. The mean (101.3) and median (99.9) are close, suggesting a roughly symmetric distribution of values across categories. Variability across categories is moderate (coefficient of variation: 0.36).","The overall minimum value is 44.2 milers de pacients and the maximum is 155.1 milers de pacients. The global average across all 10 data points is 101.3 milers de pacients, with a median of 99.9 and a standard deviation of 36.7.",5.882353,8.044499,13.356863,10.607941,16.046765,94.117647,33.333333,3,1,5,9,136,12,17.0,8,5,3,30,251,797,This chart details patient volumes across a wide range of medical categories. The main message is a progressive increase in patient volume moving from primary care towards specialized units like geriatrics and oncology.,"This is a Clustered Column chart. The X-axis represents various medical categories, starting from ""Atenció primària"" and ending at ""Geriatria"". The Y-axis indicates the number of patients in thousands, scaled from 44.2 to 155.1. A single data series named ""Valor"" is displayed.","""Atenció primària"" records the lowest volume in this specific dataset context. ""Geriatria"" and ""Pediatria"" represent the highest recorded volumes. There is a general upward trend in the ""Valor"" metric as the categories move toward more specialized and age-specific care.",The minimum value is 44.2 thousand patients. The maximum value is 155.1 thousand patients. The average value for the dataset is approximately 101.9 thousand patients.,10.97561,9.404383,15.466667,12.476585,17.493415,98.170732,63.636364,7,1,3,11,164,12,9.111111,18,13,5,41,316,989,"This chart compares a single health indicator across 10 service categories. The main message is a continuous rise from Primary care at 44.2 to Geriatrics at 155.1 thousand patients, with an overall average of 101.3.","This is a clustered column chart used to compare service categories. The x-axis lists 10 categories: Primary care, Emergency care, Hospitalization, Diagnostics, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, and Geriatrics. The y-axis shows the indicator in thousand patients, with values from 44.2 to 155.1. There is one series, labeled Value.","The values increase across the listed categories without reversal, so the ordering of categories also becomes an ordering of magnitude. The largest increase is between Mental health and Pharmacy, where the value rises by 19.8. Values move above the overall average from Mental health onward, so the higher end of the category list contributes most of the above-average values.","The minimum value is 44.2 thousand patients and the maximum is 155.1. The average across all categories is 101.3. The first category, Primary care, records 44.2, and the last category, Geriatrics, records 155.1."
00056,Indicadors de salut per categoria,11.320755,9.057001,14.661887,12.429868,17.988176,77.987421,88.888889,8,1,0,9,159,10,8.833333,18,18,0,33,294,964,This chart displays a health indicator measured in milers de pacients across 12 healthcare categories. The highest value is found in Cardiologia (34.7 milers de pacients) and the lowest in Atenció primària (16.8 milers de pacients).,"This is a Clustered Column chart. The X-axis represents 12 healthcare categories: Atenció primària, Urgències, Hospitalització, Diagnòstic, Rehabilitació, Salut mental, Farmàcia, Oncologia, Pediatria, Geriatria, Cirurgia, Cardiologia. The Y-axis represents values in milers de pacients, ranging from 16.8 to 34.7.","Values range from 16.8 to 34.7 milers de pacients, a spread of 17.9, with Cardiologia at the top and Atenció primària at the bottom. The mean (25.7) and median (25.7) are close, suggesting a roughly symmetric distribution of values across categories. Variability is relatively low (coefficient of variation: 0.23), meaning categories show broadly similar values.","The overall minimum value is 16.8 milers de pacients and the maximum is 34.7 milers de pacients. The global average across all 12 data points is 25.7 milers de pacients, with a median of 25.7 and a standard deviation of 5.9.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,10.97561,9.852459,16.442276,13.268049,17.672683,98.170732,63.636364,7,1,3,11,164,12,9.111111,18,13,5,45,327,994,"This chart compares a single health indicator across 12 service categories. The main message is a continuous rise from Primary care at 16.8 to Cardiology at 34.7 thousand patients, with an overall average of 25.7.","This is a clustered column chart used to compare service categories. The x-axis lists 12 categories: Primary care, Emergency care, Hospitalization, Diagnostics, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology. The y-axis shows the indicator in thousand patients, with values from 16.8 to 34.7. There is one series, labeled Value.","The values increase across the listed categories without reversal, so the ordering of categories also becomes an ordering of magnitude. The largest increase is between Geriatrics and Surgery, where the value rises by 1.7. Values move above the overall average from Pharmacy onward, so the higher end of the category list contributes most of the above-average values.","The minimum value is 16.8 thousand patients and the maximum is 34.7. The average across all categories is 25.7. The first category, Primary care, records 16.8, and the last category, Cardiology, records 34.7."
00073,Indicadors de salut per categoria,11.165049,9.404383,14.827832,12.87199,19.154369,73.300971,54.545455,6,3,2,11,206,12,8.956522,23,22,1,41,380,1285,"This chart compares health indicators across 12 healthcare categories, broken down by three status groups: Resolts, Amb seguiment, Derivats. The category with the highest average is Oncologia (74.2 milers de pacients), while Atenció primària has the lowest (69.8 milers de pacients).","This is a Clustered Column chart. The X-axis represents 12 healthcare categories: Atenció primària, Urgències, Hospitalització, Diagnòstic, Rehabilitació, Salut mental, Farmàcia, Oncologia, Pediatria, Geriatria, Cirurgia, Cardiologia. The Y-axis represents values in milers de pacients, ranging from 57.7 to 88.7. Each category is subdivided into 3 data series (Resolts, Amb seguiment, Derivats), represented as grouped columns.","Across all categories, the Derivats series consistently records the highest values (average: 85.0 milers de pacients), followed by Amb seguiment (71.3 milers de pacients) and Resolts (59.8 milers de pacients). The spread across categories is relatively narrow (4.4 milers de pacients), indicating a fairly uniform distribution of the indicator across healthcare areas. Overall variability is low with a coefficient of variation of 0.15 across all 36 data points.","The overall minimum value is 57.7 milers de pacients and the maximum is 88.7 milers de pacients. The global average across all 36 data points is 72.0 milers de pacients, with a median of 71.6 and a standard deviation of 10.7. By series, averages are: Derivats at 85.0, Amb seguiment at 71.3, and Resolts at 59.8 milers de pacients.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.541667,10.175576,16.4,13.451042,18.79375,97.916667,50.0,6,1,5,12,192,12,7.384615,26,20,6,48,371,1190,"This chart compares three health-status series across 12 service categories: Resolved, Follow-up, and Referred. The main takeaway is that Oncology has the highest category average at 74.2 thousand patients and Primary care has the lowest at 69.8, while the overall average across all 36 plotted values is 72.0.","This is a clustered column chart designed to compare categories and the three series within each category. The x-axis lists 12 service categories: Primary care, Emergency care, Hospitalization, Diagnostics, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology. The y-axis shows the indicator in thousand patients, with values from 57.7 to 88.7. For each category, the data are split into the series Resolved, Follow-up, and Referred.","Category averages are tightly grouped, running only from 69.8 to 74.2, so differences between categories are modest. Across the full chart, the series separate clearly: Referred has the highest average at 85.0, followed by Follow-up at 71.3, and Resolved at 59.8. Within-category spread is widest in Hospitalization, where the three values span 30.7, and tightest in Diagnostics, where they span 18.7.","The minimum value anywhere on the chart is 57.7 thousand patients and the maximum is 88.7. The overall average is 72.0. Among category averages, Oncology is highest at 74.2 and Primary care is lowest at 69.8."
00074,Indicadors de salut per categoria,11.464968,8.918718,14.432866,12.028541,17.744459,78.980892,88.888889,8,1,0,9,157,10,8.722222,18,18,0,32,286,946,This chart displays a health indicator measured in milers de pacients across 10 healthcare categories. The highest value is found in Geriatria (137.5 milers de pacients) and the lowest in Atenció primària (73.5 milers de pacients).,"This is a Clustered Column chart. The X-axis represents 10 healthcare categories: Atenció primària, Urgències, Hospitalització, Diagnòstic, Rehabilitació, Salut mental, Farmàcia, Oncologia, Pediatria, Geriatria. The Y-axis represents values in milers de pacients, ranging from 73.5 to 137.5.","Values range from 73.5 to 137.5 milers de pacients, a spread of 64, with Geriatria at the top and Atenció primària at the bottom. The mean (105.5) and median (105.5) are close, suggesting a roughly symmetric distribution of values across categories. Variability is relatively low (coefficient of variation: 0.20), meaning categories show broadly similar values.","The overall minimum value is 73.5 milers de pacients and the maximum is 137.5 milers de pacients. The global average across all 10 data points is 105.5 milers de pacients, with a median of 105.5 and a standard deviation of 21.5.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,10.97561,9.404383,15.466667,12.692439,17.672683,98.170732,63.636364,7,1,3,11,164,12,9.111111,18,13,5,41,319,994,"This chart compares a single health indicator across 10 service categories. The main message is a continuous rise from Primary care at 73.5 to Geriatrics at 137.5 thousand patients, with an overall average of 105.5.","This is a clustered column chart used to compare service categories. The x-axis lists 10 categories: Primary care, Emergency care, Hospitalization, Diagnostics, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, and Geriatrics. The y-axis shows the indicator in thousand patients, with values from 73.5 to 137.5. There is one series, labeled Value.","The values increase across the listed categories without reversal, so the ordering of categories also becomes an ordering of magnitude. The largest increase is between Rehabilitation and Mental health, where the value rises by 7.2. Values move above the overall average from Mental health onward, so the higher end of the category list contributes most of the above-average values.","The minimum value is 73.5 thousand patients and the maximum is 137.5. The average across all categories is 105.5. The first category, Primary care, records 73.5, and the last category, Geriatrics, records 137.5."
00082,Indicadors de salut per categoria,11.557789,8.933862,14.070519,12.28353,19.231558,75.376884,54.545455,6,5,0,11,199,12,8.652174,23,22,1,37,361,1246,"This chart compares health indicators across 3 healthcare categories, broken down by three status groups: Resolts, Amb seguiment, Derivats. The category with the highest average is Atenció primària (272.1 milers de pacients), while Hospitalització has the lowest (75.2 milers de pacients).","This is a Clustered Column chart. The X-axis represents 3 healthcare categories: Atenció primària, Urgències, Hospitalització. The Y-axis represents values in milers de pacients, ranging from 49 to 292.7. Each category is subdivided into 3 data series (Resolts, Amb seguiment, Derivats), represented as grouped columns.","Across all categories, the Derivats series consistently records the highest values (average: 204.3 milers de pacients), followed by Amb seguiment (177.1 milers de pacients) and Resolts (145.9 milers de pacients). There is a substantial spread of 196.9 milers de pacients between the highest-scoring category (Atenció primària) and the lowest (Hospitalització), indicating meaningful differences across healthcare areas. Overall variability is moderate with a coefficient of variation of 0.51 across all 9 data points.","The overall minimum value is 49 milers de pacients and the maximum is 292.7 milers de pacients. The global average across all 9 data points is 175.8 milers de pacients, with a median of 170.6 and a standard deviation of 89.4. By series, averages are: Derivats at 204.3, Amb seguiment at 177.1, and Resolts at 145.9 milers de pacients.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,14.130435,9.404383,15.046377,12.57913,18.220652,97.826087,41.666667,5,4,3,12,184,12,7.076923,26,19,7,41,346,1125,"This chart compares three health-status series across 3 service categories: Resolved, Follow-up, and Referred. The main takeaway is that Primary care has the highest category average at 272.1 thousand patients and Hospitalization has the lowest at 75.2, while the overall average across all 9 plotted values is 175.8.","This is a clustered column chart designed to compare categories and the three series within each category. The x-axis lists 3 service categories: Primary care, Emergency care, and Hospitalization. The y-axis shows the indicator in thousand patients, with values from 49.0 to 292.7. For each category, the data are split into the series Resolved, Follow-up, and Referred.","Category averages decline across the category sequence, falling by 196.9 thousand patients from Primary care to Hospitalization. Across the full chart, the series separate clearly: Referred has the highest average at 204.3, followed by Follow-up at 177.1, and Resolved at 145.9. Within-category spread is widest in Emergency care, where the three values span 61.5, and tightest in Hospitalization, where they span 55.8.","The minimum value anywhere on the chart is 49.0 thousand patients and the maximum is 292.7. The overall average is 175.8. Among category averages, Primary care is highest at 272.1 and Hospitalization is lowest at 75.2."
00090,Evolució de salut per període,14.880952,8.437142,13.457143,10.590238,15.720714,89.285714,45.454545,5,6,0,11,168,12,6.72,25,24,1,33,295,961,"This chart tracks the evolution of a health indicator measured in milers de pacients across 14 time periods, from 2012 to 2025. There is no clear linear trend over time (correlation: 0.10). The data peaks at 104.9 in 2019 and returns to values near the starting level, suggesting a rise-and-fall pattern.","This is a Clustered Column chart. The X-axis represents time periods, spanning from 2012 to 2025 (14 periods). The Y-axis represents values in milers de pacients, ranging from 56 to 104.9.","The data does not follow a linear trend (correlation near zero at 0.10), suggesting fluctuation or a peak-and-decline pattern rather than steady growth or decline. The peak value of 104.9 milers de pacients occurs in 2019, while the lowest value of 56 milers de pacients is recorded in 2025. Variability across periods is moderate (coefficient of variation: 0.25).","The overall minimum value is 56 milers de pacients and the maximum is 104.9 milers de pacients. The global average across all 14 data points is 69.3 milers de pacients, with a median of 60.3 and a standard deviation of 17.5. The linear correlation between time and the indicator value is 0.10.",7.29927,7.909288,13.03382,9.878558,15.771387,97.080292,0.0,0,5,4,9,137,12,13.7,10,7,3,29,244,796,"This chart illustrates the evolution of health indicators over a multi-year period. The main takeaway is the relative stability of the metric over time, with only minor fluctuations observed between the years.","This is a Clustered Column chart. The X-axis represents time in years, sequentially from 2012 to 2025. The Y-axis represents the metric value (in thousands of patients), ranging from a minimum of 58.6 to a maximum of 89.2. It tracks multiple series including ""Derivats"".","The data shows a relatively stable long-term trend without drastic spikes or drops. The ""Derivats"" series maintains consistently higher values compared to the baseline averages. Recent years show a slight upward tendency compared to the initial years of the sequence.",The overall minimum value recorded is 58.6 thousand patients. The overall maximum value is 89.2 thousand patients. The global average across the plotted timeframe is 72.87 thousand patients.,20.833333,6.730511,10.633333,7.363611,14.563333,97.916667,54.545455,6,3,2,11,144,12,4.8,30,26,4,21,223,804,"This chart tracks a single health indicator over 14 time periods. The main message is a pronounced mid-period peak: the series starts at 56.0 in 2012, reaches 104.9 in 2019, and returns to 56.0 by 2025.","This is a clustered column chart used here to compare periods in sequence. The x-axis shows time periods from 2012 to 2025. The y-axis shows the indicator in thousand patients, ranging from 56.0 to 104.9. There is one series, labeled Value.","Values stay comparatively low at the beginning and end of the sequence, while the middle periods contain the highest levels. The series climbs through 2019, where it reaches its maximum of 104.9, and then declines afterward in the opposite direction. The steepest rise is from 2017 to 2018 at 18.7, and the steepest fall is from 2020 to 2021 at 18.7.","The minimum value is 56.0 thousand patients and the maximum is 104.9. The average across all periods is 69.3. The first period, 2012, is 56.0, and the last period, 2025, is 56.0."
00115,Indicadors de salut per categoria,11.219512,9.404383,14.833333,12.88811,19.324878,73.170732,63.636364,7,3,1,11,205,12,8.913043,23,22,1,41,379,1285,"This chart compares health indicators across 12 healthcare categories, broken down by three status groups: Resolts, Amb seguiment, Derivats. The category with the highest average is Salut mental (74.3 milers de pacients), while Rehabilitació has the lowest (70.9 milers de pacients).","This is a Clustered Column chart. The X-axis represents 12 healthcare categories: Atenció primària, Urgències, Hospitalització, Diagnòstic, Rehabilitació, Salut mental, Farmàcia, Oncologia, Pediatria, Geriatria, Cirurgia, Cardiologia. The Y-axis represents values in milers de pacients, ranging from 58.6 to 89.2. Each category is subdivided into 3 data series (Resolts, Amb seguiment, Derivats), represented as grouped columns.","Across all categories, the Derivats series consistently records the highest values (average: 85.2 milers de pacients), followed by Amb seguiment (72.5 milers de pacients) and Resolts (60.9 milers de pacients). The spread across categories is relatively narrow (3.4 milers de pacients), indicating a fairly uniform distribution of the indicator across healthcare areas. Overall variability is low with a coefficient of variation of 0.14 across all 36 data points.","The overall minimum value is 58.6 milers de pacients and the maximum is 89.2 milers de pacients. The global average across all 36 data points is 72.9 milers de pacients, with a median of 72.2 and a standard deviation of 10.3. By series, averages are: Derivats at 85.2, Amb seguiment at 72.5, and Resolts at 60.9 milers de pacients.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,13.541667,9.961329,15.983333,13.451042,18.9775,97.916667,41.666667,5,3,4,12,192,12,7.384615,26,20,6,46,371,1196,"This chart compares three health-status series across 12 service categories: Resolved, Follow-up, and Referred. The main takeaway is that Mental health has the highest category average at 74.3 thousand patients and Rehabilitation has the lowest at 70.9, while the overall average across all 36 plotted values is 72.9.","This is a clustered column chart designed to compare categories and the three series within each category. The x-axis lists 12 service categories: Primary care, Emergency care, Hospitalization, Diagnostics, Rehabilitation, Mental health, Pharmacy, Oncology, Pediatrics, Geriatrics, Surgery, and Cardiology. The y-axis shows the indicator in thousand patients, with values from 58.6 to 89.2. For each category, the data are split into the series Resolved, Follow-up, and Referred.","Category averages are tightly grouped, running only from 70.9 to 74.3, so differences between categories are modest. Across the full chart, the series separate clearly: Referred has the highest average at 85.2, followed by Follow-up at 72.5, and Resolved at 60.9. Within-category spread is widest in Cardiology, where the three values span 28.5, and tightest in Pharmacy, where they span 18.6.","The minimum value anywhere on the chart is 58.6 thousand patients and the maximum is 89.2. The overall average is 72.9. Among category averages, Mental health is highest at 74.3 and Rehabilitation is lowest at 70.9."
00123,Evolució de salut per període,16.455696,8.730611,14.099885,10.997894,15.967848,89.873418,60.0,6,4,0,10,158,11,6.076923,26,26,0,33,281,909,"This chart tracks the evolution of a health indicator measured in milers de pacients across 12 time periods, from 2014 to 2025. The data shows a strong upward trend over time (correlation: 0.98), rising from -6.4 in 2014 to 96.4 in 2025.","This is a Clustered Column chart. The X-axis represents time periods, spanning from 2014 to 2025 (12 periods). The Y-axis represents values in milers de pacients, ranging from -6.4 to 96.4.","The dominant pattern is a consistent upward trajectory across the observed period, with a linear correlation of 0.98. The peak value of 96.4 milers de pacients occurs in 2025, while the lowest value of -6.4 milers de pacients is recorded in 2014. Variability across periods is high, with a coefficient of variation of 0.76, indicating substantial fluctuation over time.","The overall minimum value is -6.4 milers de pacients and the maximum is 96.4 milers de pacients. The global average across all 12 data points is 45.7 milers de pacients, with a median of 42.9 and a standard deviation of 34.8. The linear correlation between time and the indicator value is 0.98.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,24.626866,6.730511,10.735323,7.169478,13.801493,97.014925,63.636364,7,3,1,11,134,12,4.060606,33,27,6,21,209,735,"This chart tracks a single health indicator over 12 time periods. The main message is a change from -6.4 in 2014 to 96.4 in 2025, with a chart-wide minimum of -6.4, a maximum of 96.4, and an average of 45.7 thousand patients.","This is a clustered column chart used here to compare periods in sequence. The x-axis shows time periods from 2014 to 2025. The y-axis shows the indicator in thousand patients, ranging from -6.4 to 96.4. There is one series, labeled Value.","The overall movement is upward, with a net increase of 102.8 from the first period to the last. The minimum occurs in 2014 at -6.4, while the maximum occurs in 2025 at 96.4. The largest period-to-period increase is from 2015 to 2016, a change of 27.5.","The minimum value is -6.4 thousand patients and the maximum is 96.4. The average across all periods is 45.7. The first period, 2014, is -6.4, and the last period, 2025, is 96.4."
